,words,labels
0,ellicottcity be know for its vibrant art scene,U-CITY O O O O O O O
1,other part of maryland also see significant damage from sunday storm include this baltimore city neighborhood dundalk and catonsville rain total span from 1 to 10 inch across maryland ecflood,O O O U-STATE O O O O O O O O O U-CITY O O O O O O O O O O O O O O U-STATE O
2,catastrophic flooding slam ellicott city maryland water rescue report the weather channel via,O O O B-CITY L-CITY U-STATE O O O O O O O
3,1 miss after flash flooding devastate ellicott city maryland gpwx,O O O O O O B-CITY L-CITY U-STATE O
4,the scenic spot in ellicott city maryland be perfect for photography,O O O O B-CITY L-CITY U-STATE O O O O
5,baltimore be a popular destination for both relaxation and adventure,U-CITY O O O O O O O O O
6,ellicott maryland have a rich musical heritage,U-CITY U-STATE O O O O O
7,aerial of damage after historic flash flooding in ellicott city maryland,O O O O O O O O B-CITY L-CITY U-STATE
8,the park and garden in ellicott maryland offer a peaceful retreat,O O O O O U-CITY U-STATE O O O O
9,one man be still miss after flash flooding tore down historic main street in ellicott city maryland over the weekend,O O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O
10,the cultural event in baltimore maryland highlight its heritage,O O O O U-CITY U-STATE O O O
11,advantaclean of frederick be available to help mitigate the damage to home and business in ellicott city and surround area call 877 800 2382 toll free to connect with our office to get the job do right,O O O O O O O O O O O O O O O B-CITY L-CITY O O O O O O O O O O O O O O O O O O O O
12,army national guardsman miss after massive flooding hit ellicott city maryland thought and prayer with eddison alexander hermond and his family i sure hope they find he alive and well,O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O O O O O O O O O
13,please pray for a brave vet who be miss in maryland in the flooding ellicott city maryland flash flood leave national guard member missing devastate town recover from 2016 deluge,O O O O O O O O O O U-STATE O O O U-CITY O U-STATE O O O O O O O O O O O O O
14,colombia ellicott maryland be know for its scenic view and natural beauty,U-COUNTRY U-CITY U-STATE O O O O O O O O O
15,ellicott city maryland be a hub for technology and innovation,B-CITY L-CITY U-STATE O O O O O O O
16,a state of emergency have be declare in the us state of maryland as catastrophic flash flood sweep ellicott city after heavy rain official have urge resident to go to high ground immediately,O O O O O O O O O U-COUNTRY O O U-STATE O O O O O B-CITY L-CITY O O O O O O O O O O O O O
17,ellicott maryland have a variety of family friendly activity,U-CITY U-STATE O O O O O O O
18,i like a video crazy maryland flooding flash flood smash into ellicott city maryland,O O O O O U-STATE O O O O O B-CITY L-CITY U-STATE
19,miss sweep away in maryland flood while save other sun 8 10ae 866594hope iheartradio,O O O O U-STATE O O O O O O O O O
