tweet_id,text,location_mentions
ID_1111053442708107264,"Please share and invite your friends and family to visit this auction fundraiser to benefit the Ranchers and Farmers in Nebraska. As youve seen recently, over 70% of the state has been affected. They need our help.","[{'text': 'Nebraska', 'type': 'State', 'start_offset': 120, 'end_offset': 128}]"
ID_1111252147759398912,MD 0244 CONCERNING SEVERE POTENTIALWATCH UNLIKELY FOR PARTS OF SOUTHERN NEBRASKA AND NORTHERN KANSAS Mesoscale Discussion 0244 NWS Storm Prediction Center Norman OK 0752 AM CDT Thu Mar 28 2019 Areas affectedParts of southern Nebraska and northern,"[{'text': 'NEBRASKA', 'type': 'State', 'start_offset': 72, 'end_offset': 80}, {'text': 'KANSAS', 'type': 'State', 'start_offset': 94, 'end_offset': 100}, {'text': 'Nebraska', 'type': 'State', 'start_offset': 225, 'end_offset': 233}]"
ID_1111602657137954817,"FEMA & SBA reps will be at the first Disaster Recovery Center opening this morning in Valley. Flood victims can register for federal financial assistance, both grants and loans. I’m LIVE in Valley this morning on @KETV #FirstNews.","[{'text': 'Valley', 'type': 'Natural Point-of-Interest', 'start_offset': 86, 'end_offset': 92}, {'text': 'Valley', 'type': 'Natural Point-of-Interest', 'start_offset': 190, 'end_offset': 196}]"
ID_1112799292106915842,"Following Nebraska’s historic flooding, nurses are volunteering their time and expertise to aid in relief efforts. For two of these nurses, the disaster hit close to home:","[{'text': 'Nebraska', 'type': 'State', 'start_offset': 10, 'end_offset': 18}]"
ID_1112535466769821701,@UlrichFarm @KS_NE_1013 @Afuelberth1 Thats awesome! God bless the Nebraska farmers. I had friends in SW Kansas that got relief from Nebraska farmers when the brush fires took their toll a couple years ago. Country folks help each other. Amen.,"[{'text': 'Nebraska', 'type': 'State', 'start_offset': 66, 'end_offset': 74}, {'text': 'Kansas', 'type': 'State', 'start_offset': 104, 'end_offset': 110}, {'text': 'Nebraska', 'type': 'State', 'start_offset': 132, 'end_offset': 140}]"
ID_1110255173660786693,"Lots of Nebraska #roads, #bridges, #highways, and other #infrastructure experienced severe damage due to the record #flooding over the last 2 weeks. Photos by Capt. Ryan Hignight, @USACEHQ Omaha District. @aashtospeaks @NebraskaDOT @GovRicketts","[{'text': 'Nebraska', 'type': 'State', 'start_offset': 8, 'end_offset': 16}, {'text': 'Omaha', 'type': 'State', 'start_offset': 189, 'end_offset': 194}]"
ID_1110923037766021121,#Nebraska Central #Railroad also suffering #flood damage after Mid-March rains | #Trains Magazine,"[{'text': 'Nebraska', 'type': 'State', 'start_offset': 1, 'end_offset': 9}]"
ID_1111419396893765634,@thehannahhuston Im so happy for the state of Nebraska. Keep the donations coming in!!,"[{'text': 'Nebraska', 'type': 'State', 'start_offset': 46, 'end_offset': 54}]"
ID_1110919666678018053,"Anheuser-Busch, the brewing company, which produces Budweiser and Bud Light among other beverages, announced last week that they will be sending more than 100,000 cans of water to areas affected by the flooding in Nebraska.","[{'text': 'Nebraska', 'type': 'State', 'start_offset': 214, 'end_offset': 222}]"
ID_1111740074000035840,Offutt Air Force Base near Omaha has reopened its runway and taxiways after determining that flooding didnt cause any damage.,"[{'text': 'Omaha', 'type': 'City/town', 'start_offset': 27, 'end_offset': 32}]"
