tweet_id,text,location_mentions
ID_1061497252806414336,"Please read below!! Another devastating fire has hit Northern California, people need help, whatever you can give, or anyway you can help, please doὤF!!","[{'text': 'Northern California', 'type': 'State', 'start_offset': 53, 'end_offset': 72}]"
ID_1061165982855634944,Celebrities evacuate California as wildfires rage,"[{'text': 'California', 'type': 'State', 'start_offset': 21, 'end_offset': 31}]"
ID_1064248785914732544,"Grab one of these and HELP victims of California Fires! ✅Get them here -  ὄ8 They REALLY need our help! Today they need our help, tomorrow it might be you! Ἑ8100% of profits go to Victims! #CaliforniaFires #California #Firefighters #FBRParty #FBR","[{'text': 'California', 'type': 'State', 'start_offset': 38, 'end_offset': 48}, {'text': 'California', 'type': 'State', 'start_offset': 207, 'end_offset': 217}]"
ID_1061160485364613121,the camp fire in Paradise California is growing way too fast. Many people have gone missing and are trapped. Please be praying for all those who have lost loved ones and their homes.,"[{'text': 'Paradise', 'type': 'City/town', 'start_offset': 17, 'end_offset': 25}, {'text': 'California', 'type': 'State', 'start_offset': 26, 'end_offset': 36}]"
ID_1066508972650311682,"The area of documented destruction in the #CampFire zone widens. Almost 14,000 homes have been reported destroyed.",[]
ID_1065764828629921798,RT @kytxcbs19: Oncor sending more than 100 Texas employees to aid in Camp Fire,"[{'text': 'Texas', 'type': 'State', 'start_offset': 43, 'end_offset': 48}]"
ID_1065315796245757960,"SierraNevada: CaptCaveDave SideProjectBrew Hi Dave, for long-term support, we have set up a Sierra Nevada Camp Fire Relief Fund. The brewery is seeding this fund with an initial $100,000 to start. To help support this long-term effort, visit  and select","[{'text': 'Sierra Nevada', 'type': 'Natural Point-of-Interest', 'start_offset': 92, 'end_offset': 105}]"
ID_1063139373724643329,48 people confirmed dead in CAs historicslly WORST EVER CAMP FIRE ENVIRONMENTAL EPIDEMIOLOGISTS ( real smart environmental doctors) expect that this and future fires will cause smoke waves thatll screw air quality for 82million Americans from Oregon to the Great Plains,"[{'text': 'Oregon', 'type': 'State', 'start_offset': 243, 'end_offset': 249}]"
ID_1061306586683953152,BCSO reports an additional four fatalities have been confirmed due to the Camp Fire. The victims were located in the Paradise area. One person was found inside a residence and three were found outside of residences. This brings the total number of fatalities to date to nine.,[]
ID_1062099699253952512,Morning Update: Californias Wildfires Lead To 31 Deaths - BuzzFeed News,"[{'text': 'Californias', 'type': 'State', 'start_offset': 16, 'end_offset': 27}]"
ID_1062224201220710400,"Death toll from Northern California fire jumps to 42, making it worst in state history - Ans of course all will blame Trump cuz your idiots","[{'text': 'California', 'type': 'State', 'start_offset': 25, 'end_offset': 35}]"
ID_1061716200013611008,"Authorities called in a mobile DNA lab to help identify the dead in California’s recent wildfire. Currently at 25, the death toll is expected to rise.","[{'text': 'California', 'type': 'State', 'start_offset': 68, 'end_offset': 78}]"
ID_1062069574328291330,"The death toll in Northern Californias massive wildfire climbed to 29, making it the deadliest wildfire in the history of California. #CaliforniaFires #CampFire #wildfires Here are some before-and-after pictures from USA Today:","[{'text': 'Californias', 'type': 'State', 'start_offset': 27, 'end_offset': 38}, {'text': 'California', 'type': 'State', 'start_offset': 122, 'end_offset': 132}, {'text': 'USA', 'type': 'Country', 'start_offset': 217, 'end_offset': 220}]"
ID_1064776392695525377,"Thank you, my dear friend @MissNyetTrump for sharing this info. Below is one way we can all chip in to make the holidays a bit more special for the children affected by the Camp Fire. Just imagine if we each donated one toy. #CaliforniaFires #SeasonofGiving #ActsofKindness",[]
ID_1065463239507501061,Light right falling Wednesday in some areas of Northern California could aid crews fighting a deadly wildfire while raising the risk of flash floods and complicating efforts to recover the remains of those killed.,"[{'text': 'California', 'type': 'State', 'start_offset': 56, 'end_offset': 66}]"
ID_1064462402287214592,"The California #CampFire has destroyed more than 10,500 homes. More than 1,000 people are still unaccounted for. And rain is in the midweek forecast, which could complicate searches.","[{'text': 'California', 'type': 'State', 'start_offset': 4, 'end_offset': 14}]"
ID_1064997577270018049,.@AnaheimFire and @orange_city_fd are participating in the rescue and recovery efforts at the Camp Fire in @CountyofButte #ButteStrong #ParadiseStrong,[]
ID_1065458065338654720,"Hey friends, Aaron Rogers and State Farm have teamed up to help those who have lost their homes and loved ones in the California fires. They will donate $1.00 to the relief fund for each retweet. Tweet away friends for a great cause!","[{'text': 'California', 'type': 'State', 'start_offset': 118, 'end_offset': 128}]"
ID_1062044991650844672,UPDATES FOR THE CAMP AND WOOLSEY FIRES IN CALIFORNIA FOR 11/12 AT 10 AM CAMP FIRE - Here is the very latest information for the Camp Fire outside Chico in Northern California. The death toll from the fire is,"[{'text': 'CALIFORNIA', 'type': 'State', 'start_offset': 42, 'end_offset': 52}, {'text': 'Northern California', 'type': 'State', 'start_offset': 155, 'end_offset': 174}]"
ID_1062097704946302976,"Death toll rising, hundreds missing in record-breaking California wildfires.  @Miguelnbc has the latest tonight on @NBCNightlyNews.","[{'text': 'California', 'type': 'State', 'start_offset': 55, 'end_offset': 65}]"
ID_1061980321300779009,"California wildfires rage on as death toll rises to at least 31, US media reports (via @thejournal_ie)","[{'text': 'California', 'type': 'State', 'start_offset': 0, 'end_offset': 10}]"
ID_1064259514344660994,"To all #GoodSamaritans who have requested how to contribute to the #CaliforniaFires relief effort from far away, here is a reliable list of organizations: ὄ7ὄ7ὄ7ὄ7ὄ7ὄ7#SoCalFiresJamesWoods #CampFireJamesWoods",[]
ID_1065664507219869696,"Aaron Rodgers, Packers star QB and California native, giving $1 million to help state rebuild from devastating wild fires","[{'text': 'California', 'type': 'State', 'start_offset': 35, 'end_offset': 45}]"
ID_1062655514943856642,"(via  ) CNN: Nearly a week after the worst wildfire in Californias history broke out, firefighters are still battling its roaring flames, 48 people have been confirmed dead and evacuees are growing desperate","[{'text': 'Californias', 'type': 'State', 'start_offset': 55, 'end_offset': 66}]"
ID_1064696414419083264,"Nearly 1,000 missing: If you are on the list, please call the Butte County Sheriff’s Missing Person Call Center. Let them know you are safe and there is no need to search for you any longer: 530-538-6570, 530-538-7544 and 530-538-7671. #CampFire","[{'text': 'Butte County', 'type': 'County', 'start_offset': 62, 'end_offset': 74}]"
ID_1063274104587980800,"BBC News: California wildfires: Number of missing leaps to 600 BBC News: Seven more bodies have also been found in northern California, taking the state-wide death toll to 66. shamelnews","[{'text': 'California', 'type': 'State', 'start_offset': 10, 'end_offset': 20}, {'text': 'California', 'type': 'State', 'start_offset': 124, 'end_offset': 134}]"
ID_1063695734573154304,"The wildfire has killed at least 71 people, with the number climbing daily.",[]
ID_1065735639302320128,Animal Shelters To Donate To As California Wildfires Continue Burning #CaliforniaFires #CampFire #CampFirePets #HillFire #ParadiseFire,"[{'text': 'California', 'type': 'State', 'start_offset': 32, 'end_offset': 42}]"
ID_1062118739393552385,"The inferno that incinerated the northern town of Paradise, California killed at least 29 people and is already the most destructive wildfire in California history, razing a staggering 6,453 homes.","[{'text': 'Paradise', 'type': 'City/town', 'start_offset': 50, 'end_offset': 58}, {'text': 'California', 'type': 'State', 'start_offset': 60, 'end_offset': 70}, {'text': 'California', 'type': 'State', 'start_offset': 145, 'end_offset': 155}]"
ID_1067197143608410114,"Many of the structures lost in the California fires were nursing homes, assisted living facilities, other geriatric care centers or mobile home parks catering to retirees. Roughly 2,300 residents of the fire zone had relied on in-home health aides. .","[{'text': 'California', 'type': 'State', 'start_offset': 35, 'end_offset': 45}]"
