,tweet_id,text,location_mentions
0,ID_1022420413882744832,Nearly half of #houses checked in #fire-stricken areas deemed #uninhabitable #GO #PrayForGreece #PrayForAthens #AthensFires ἞C἟7,[]
1,ID_1021778661895294976,RT @anadoluagency: #Greece: Death toll from wildfires hits 74,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 20, 'end_offset': 26}]"
2,ID_1022015997740503042,When the essence of cooperation meets the sad reality of lifeThe IPA partner country offers financial aid to Greece to handle disaster @InterregIPACBC #Greecefires,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 109, 'end_offset': 115}]"
3,ID_1022557424585240576,We are live from the Lureio Idrima the orphanage and nursing home operared by the nuns of the Holy Trinity Monastery that was destroyed by the fire in Neos Voutzas. Here too the scene is apocalyptic.,"[{'text': 'Holy Trinity Monastery', 'type': 'Human-made Point-of-Interest', 'start_offset': 94, 'end_offset': 116}, {'text': 'Neos Voutzas', 'type': 'Neighborhood', 'start_offset': 151, 'end_offset': 163}]"
4,ID_1021749412639457280,RT @AP: Greek prime minister declares 3-day national mourning period for dozens killed by wildfires near Athens.,"[{'text': 'Athens', 'type': 'City/town', 'start_offset': 105, 'end_offset': 111}]"
5,ID_1024662121391579136,#Greece vows to speed up destruction of illegal property after #wildfires,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 1, 'end_offset': 7}]"
6,ID_1022441664697298944,"In Mati, hundreds of humanitarian volunteers have joined relief efforts following Greece’s most deadly wildfires in a decade","[{'text': 'Mati', 'type': 'City/town', 'start_offset': 3, 'end_offset': 7}, {'text': 'Greece', 'type': 'Country', 'start_offset': 82, 'end_offset': 88}]"
7,ID_1024974395759108097,State Minister #Flambouraris offers thanks for assistance to #Greecefires victims,[]
8,ID_1022473412034416640,"Unfortunately theres the first confirmed fatality, hope to be the last, among tourists at the #AthensFires: an Irishman in honeymoon. So sorry, R.I.P ὢ2  #Mati #Attica #wildfires #PrayForGreece #PrayForAthens #Πυρκαγια #Αττικη #ματι","[{'text': 'Attica', 'type': 'City/town', 'start_offset': 161, 'end_offset': 167}]"
9,ID_1022371614091096064,"A special account has been opened at the Bank of Greece for donations in support of fire victims. Account number 23/2341195169, IBAN GR4601000230000002341195169) available for foreign states, businesses and individuals from Greece and abroad to provide their financial support","[{'text': 'Greece', 'type': 'Country', 'start_offset': 49, 'end_offset': 55}, {'text': 'Greece', 'type': 'Country', 'start_offset': 224, 'end_offset': 230}]"
10,ID_1021723092593401857,Greek Prime Minister declares three-day national mourning as 60 people are reported dead in Greece wildfires - Irish Department of Foreign Affairs say they are providing consular assistance to a number of people,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 92, 'end_offset': 98}]"
11,ID_1023305338672611328,We are deeply saddened by the loss of more than 50 people in the forest fires in the Eastern #Attica region of #Greece. We extend our deepest condolences to the Greek people and Greek government. Our prayers and thoughts are with the families affected from the fire.,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 112, 'end_offset': 118}]"
12,ID_1022047647010631680,#Greek Orthodox Church could think of other people for a change and donate some money to the victims of the #Athensfires #πυρκαγια,"[{'text': 'Greek Orthodox Church', 'type': 'Human-made Point-of-Interest', 'start_offset': 1, 'end_offset': 22}]"
13,ID_1023484563799126016,Greek firefighters join public outcry at ‘woeful’ response to lethal wildfires and support the argument of @YanisVaroufakis that austerity enlarged the scale of this disaster:  #GreekFires @atsipras @SYRIZAEP #Greece #AthensFires,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 210, 'end_offset': 216}]"
14,ID_1022586744837943296,2nd DAY crypto donations results for the Victims of Greek Wildfires (paypal and cryptocurrencies). Keep donating!  $BTC $ETH #Greece #Πυρκαγια #wildfires #donation #victims,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 126, 'end_offset': 132}]"
15,ID_1024253442049683456,Send Aid to Wildfire-Ravaged Greece,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 29, 'end_offset': 35}]"
16,ID_1022451562080333824,RT @amna_newseng: Death toll from #Greecefires rises to 83 following death of burns patient in hospital,[]
17,ID_1022882396549472256,"Financial Mirror dot com – CYPRUS: Over 1,000 aid boxes for Greece fire victims in Tsunami of love","[{'text': 'Greece', 'type': 'Country', 'start_offset': 60, 'end_offset': 66}]"
18,ID_1021772564706811904,plse #PrayForGreece #PrayForAthens 74 people lost their lives and 150 got injured,[]
19,ID_1021770980576952321,#Greece wildfires: 60 dead in holiday area - #BBC News #rescueservices #Athens #localmedia #Mati,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 1, 'end_offset': 7}, {'text': 'Athens', 'type': 'City/town', 'start_offset': 72, 'end_offset': 78}, {'text': 'Mati', 'type': 'City/town', 'start_offset': 92, 'end_offset': 96}]"
20,ID_1022143936620650497,"Just created a quick infodump about the #wildfires in Greece, in plain English. Not necessary to donate, but please RT. Hope someone stranded in or around the area finds it useful.  #PrayForGreece #PrayForAthens #elearning #articulate #πυρκαγια #ματι #Mati","[{'text': 'Greece', 'type': 'Country', 'start_offset': 54, 'end_offset': 60}]"
21,ID_1022132884063379456,A fully comprehensive update of all volunteering options for victims of the recent wildfires that devastated Athens by Ethelon (site is in Greek),"[{'text': 'Athens', 'type': 'City/town', 'start_offset': 109, 'end_offset': 115}]"
22,ID_1021902227169046529,Tragedy in Greece as wildfires kill dozens. #Pray 1) for the people affected 2) for climate action on behalf of our children.,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 11, 'end_offset': 17}]"
23,ID_1025733209106145280,Bill Furnaro Talks to TNH about Facebook Fundraiser for Wildfire Victims  #Greece #news,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 75, 'end_offset': 81}]"
